frame.time,wlan.sa,wlan.ssid, seclab
"Jul 26, 2019 13:21:16.835196000 AEST","d8:1c:79:dc:96:3b","eduroam", seclab
"Jul 26, 2019 13:21:16.855345000 AEST","88:e9:fe:70:a1:61","", seclab
"Jul 26, 2019 13:21:16.865297000 AEST","88:e9:fe:70:a1:61","", seclab
"Jul 26, 2019 13:21:16.906520000 AEST","88:e9:fe:70:a1:61","", seclab
"Jul 26, 2019 13:21:17.070770000 AEST","88:e9:fe:7e:fa:12","", seclab
"Jul 26, 2019 13:21:17.080977000 AEST","88:e9:fe:7e:fa:12","", seclab
"Jul 26, 2019 13:21:17.272731000 AEST","94:65:2d:b1:fa:28","uniwide", seclab
"Jul 26, 2019 13:21:17.458876000 AEST","94:65:2d:b1:fa:28","uniwide", seclab
"Jul 26, 2019 13:21:17.473940000 AEST","94:65:2d:b1:fa:28","uniwide", seclab
"Jul 26, 2019 13:21:17.559851000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:17.582406000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:17.602750000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:17.625688000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:17.646231000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:17.797280000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:17.841090000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:17.904096000 AEST","b8:27:eb:13:52:0a","", seclab
"Jul 26, 2019 13:21:18.201320000 AEST","be:a4:15:fc:5d:eb","", seclab
